category,title,description
IT,,"'- تحديد مواصفات الحلول البديلة والاضافات والتحديثات اللازمة ويدرس جدواها فنيا واقتصاديا
- مراقبة الاستخدام والابلاغ عن المشكلات والاخطاء والعمل علي حلها والتاكد من الاستخدام السليم
- تنفيذ احدث التطبيقات والنظم في مجال تقنية وامن المعلومات وجدولة دورية لصيانة نظم المعلومات ووضع برامج الدعم والصيانة
- تنسيق التعاقدات التقنية وعمليات الشراء الخاصة بها
- القيام بعمليات تحديد احتياجات المستخدمين في مختلف الوحدات التنظيمية في الجهة والقيام بمراجعتها وتقديم الاقتراحات المعنية بتطوير ووضع المواصفات التقنية للانظمة والتطبيقات اللازمة والقيام بعملها
- اعداد برامج وخطط العمل المتعلقة باعمال تقنية المعلومات وعمليات تصميم وتطوير البرامج والتطبيقات والقيام بها وعمل انشطة دعم المستخدم بهدف توفير الحلول التقنية اللازمة عند مواجهة اية صعوبات او مشاكل
- متابعة اخر المستجدات والتطورات المتعلقة بشوون وعمليات تقنية المعلومات والتوجيه بتبني المناسب منها، وتحديد وضمان توافر جميع الموارد والمواد اللازمة لتنفيذ الاعمال والانشطة التخصصية باحدث الاساليب والممارسات ذات العلاقة
- القيام بعمليات التطوير وتطبيق المعايير اللازمة لضمان امن نظم المعلومات بما يشمل التاكد من هوية المستخدمين وصلاحياتهم، والتعامل مع المخاطر والتهديدات المتوقعة قبل حدوثها، ومراقبة سرية ونقل البيانات عبر الشبكة وضمان توافر الخدمات وعدم انقطاعها
- عمل كافة العمليات اليومية لاعمال تقنية المعلومات وضمان وجود منهجيات فعالة للبحث عن البرامج والتطبيقات التي تلبي احتياجات المستخدم النهايي في الجهة وضمان امنها وملاءمتها لمختلف المتطلبات والمواصفات والتقنيات الحالية
- دعم تنفيذ وتطوير نظام ادارة المعرفة ISO 30401 من خلال توفير البيية التقنية اللازمة لتوثيق وتخزين ومشاركة المعرفة الموسسية، وضمان تكامل الانظمة والتطبيقات المستخدمة في ادارة المعرفة، وتحقيق امن وسلامة المحتوي المعرفي الالكتروني"
IT,,"'- ادارة الانظمة بكفاءة ودعم جميع الاقسام في استخدامه
- تحليل العمليات الداخلية وتخصيص النظام ليتناسب مع احتياجات الشركة
- تطوير التقارير وتحسين سير العمل داخل النظام
- تدريب الموظفين علي استخدام نظام المستخدم وحل المشكلات الفنية المتعلقة به
- التنسيق مع فريق التقنية او مزود النظام عند الحاجة للتطوير او التحديثات"
IT,,"'- Manage and optimize the company’s ecommerce platforms including but not limited to Amazon, Noon, Sallah, and Shopify
- Maintain product listings across all ecommerce platforms with up-to-date information, images, pricing, and descriptions
- Monitor daily operations of ecommerce sales and resolve order issues, returns, and customer inquiries promptly
- Plan, schedule, and publish engaging content across social media channels (Instagram, Facebook, TikTok, etc.)
- Create and manage advertising campaigns on social media and ecommerce platforms to drive traffic and sales
- Analyze performance metrics from platforms and campaigns to improve conversion rates and reduce cost per acquisition
- Conduct regular competitor analysis and market research to identify trends and opportunities for growth
- Work closely with design and content teams to ensure consistent branding and promotional messaging
- Develop and implement SEO strategies for product listings and website pages to improve organic visibility
- Ensure timely inventory updates and coordinate with warehouse/operations to prevent stockouts or overselling
- Generate regular reports on sales performance, ROI, and KPIs to support strategic decision-making
- Coordinate seasonal promotions, flash sales, and special online campaigns
- Monitor reviews and customer feedback to improve product offerings and service quality
- Maintain ecommerce back-end systems, including CMS, plugins, and basic troubleshooting
- Stay updated with platform policy changes, ecommerce trends, and emerging tools and technologies
- Collaborate with customer service to improve user experience and post-sales engagement
- Suggest and implement automation tools and integrations to streamline ecommerce workflows
- Manage affiliate and influencer partnerships related to ecommerce and social campaigns
- Maintain strong relationships with platform account managers for support and performance optimization"
IT,,"'- مطلوب موظفات وموظفين للعمل بوظيفة مدخل بيانات عن بعد في مجال تكشيف في مشروع رقمنة الثروة العقارية
الوصف العام:
- يعمل مختص التكشيف علي دعم مشروع رقمنة الثروة العقارية من خلال تنظيم وتصنيف الوثايق العقارية الورقية وتحويلها الي بيانات رقمية يمكن الوصول اليها بسهولة. يهدف المشروع الي تسريع عملية تحويل الوثايق العقارية الي ملفات رقمية دقيقة، مما يسهم في تحقيق اهداف روية 2030 المتعلقة بالتحول الرقمي في قطاع العقارات
المهام والمسووليات:
- مراجعة وتحليل الوثايق العقارية: استخراج البيانات الاساسية مثل المالكين، الحدود، المواقع الجغرافية، والاوصاف العقارية من العقود والوثايق الورقية
- التحديث والتدقيق: متابعة التحديثات التي قد تطرا علي البيانات العقارية وتدقيق الفهارس لضمان خلوها من الاخطاء
- ضمان سرية المعلومات: التعامل مع البيانات بحذر واتباع بروتوكولات الامان لحماية معلومات الملكية العقارية"
IT,,"'- We are looking for an experienced Odoo Engineer (ERP) to join our team. Responsibilities include developing and customizing Odoo modules, integrating third-party systems, and working closely with internal teams to improve ERP functionality"
IT,,"'- متابعة وتقييم عملية جمع وتحليل المعطيات وتطوير وسايل واساليب عملية التحليل والتصميم بناء علي عملية التقييم
- البحث عن احدث وسايل وادوات البرمجة والفحص والتركيب المناسبة، ومراقبة دورة تطوير البرمجيات وتطوير وفحص وتركيب التجهيزات الحاسوبية والبرمجيات
- تشخيص اعطال التجهيزات الحاسوبية والبرمجيات ومعالجتها، وتطوير برامج الصيانة الوقايية ومتابعة تنفيذها
- تطوير اساليب واجراءات العمل ومواكبة التطورات التقنية
- اعداد الوثايق والتقارير المتخصصة بالاعمال والمشروعات الهندسية ونسب تقدمها وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقا للسياسات والاجراءات المعتمدة"
IT,,"'- المساعدة في تسويق برمجيات وتطبيقات لشركة عالمية في السوق السعودي
- حضور وتنسيق الاجتماعات مع العملاء"
IT,,"'- قيادة مشروع تنفيذ او تطوير نظام ERP في جميع مراحله
- تحديد احتياجات الادارات وتحليل العمليات لضمان توافقها مع النظام
- التنسيق مع مزودي خدمات ERP (مثل SAP، Oracle، Microsoft Dynamics)
- ادارة فريق العمل المسوول عن النظام (محللين، مطورين، داعمين)
- ضمان استمرارية عمل النظام وحل المشكلات التقنية والفنية
- تدريب المستخدمين وضمان الاستخدام الامثل للنظام
- تطوير السياسات والاجراءات المرتبطة باستخدام النظام
- اعداد تقارير تحليلية للادارة العليا لتحسين الاداء"
IT,,'- مطلوب مدخل بيانات للعمل بمدينة الرياض
IT,,'- مطلوب مصممة او مصمم جرافيك للعمل لدي شركة متخصصة في التجارة الالكترونية بشرق مدينة الرياض
IT,,'- ادخال وتحليل البيانات
IT,,"Job Purpose:
- To support employees with technical issues such as computer, network, or system problems and to ensure smooth day-to-day IT operations.
Daily Tasks:
- Receive support requests from staff (by email, phone, or in person).
- Troubleshoot and resolve technical issues or escalate when needed.
- Install and configure computers, printers, and software.
- Create user accounts and manage access permissions.
- Log support tickets in the system and follow up until resolved.
- Provide on-site support when necessary.
- Assist users with system usage and basic training.
- Maintain documentation and inventory of IT equipment."
IT,,"'- مطلوب فني تركيب كاميرات السيارة (Dash Cam) للعمل بمحافظة الرس - منطقة القصيم
- العمل بدوام 6 ساعات يوميا
المهام:
- تركيب وفحص الداش كام بجميع انواعها
- سحب الاسلاك وترتيبها بشكل احترافي
- تشخيص الاعطال وحلها بسرعة
- تقديم شرح مبسط للعميل عن طريقة الاستخدام
للتقديم الرجاء ارسال السيرة الذاتية علي الايميل
rc.humenresources@gmail.com"
IT,,"'- مطلوب فني صيانة جوالات للعمل في مجال صيانة وبرمجة الهواتف الذكية
- راتب شهري + عمولة
- بيية عمل محفزة
- فرصة لتطوير المهارات والتعلم
الرجاء ارسال السيرة الذاتية علي الايميل
rc.humenresources@gmail.com"
IT,,'- مطلوب اخصايي تقنية معلومات يجيد تركيب وتهيية الشبكات الداخلية بما يشمل السويتشات وتمديدات الكابلات
IT,,"تحليل المتطلبات:
- فهم العمليات الادارية والمالية واللوجستية الخاصة بالشركة
- تحويل هذه العمليات الي وظايف رقمية داخل النظام
برمجة الواجهة الخلفية (Back-End) باستخدام Laravel:
- تطوير قواعد البيانات (Modules للمخزون، المبيعات، المحاسبة، الموارد البشرية...)
- انشاء RESTful APIs لربط الجهة الامامية بالبيانات
- اعداد انظمة الصلاحيات والمستخدمين
- التعامل مع العمليات الحساسة مثل الفواتير، القيود المحاسبية، التقارير... الخ
برمجة الواجهة الامامية (Front-End) باستخدام VueJS:
- تصميم صفحات النظام التي يتفاعل معها المستخدمون (لوحة التحكم، نماذج الادخال، الجداول، الرسوم البيانية)
- تحسين تجربة الاستخدام وسرعة الاداء
- تحديث البيانات بشكل مباشر باستخدام AJAX او WebSockets اذا لزم الامر
الاختبار وضمان الجودة:
- اختبار كل وحدة من النظام (Modules)
- اصلاح الاخطاء والتاكد من خلو النظام من المشاكل البرمجية
النشر والصيانة:
- رفع التحديثات علي الخادم (Production Server)
- مراقبة اداء النظام وصيانته بشكل مستمر
الاجتماعات والتنسيق (اذا كان ضمن فريق):
- حضور اجتماعات Scrum او اجتماعات دورية لمراجعة التقدم
- التنسيق مع فرق المحاسبة او الادارة لضمان توافق النظام مع الواقع العملي"
IT,,"'- مطلوب مهندس اتصالات (اختبار ميداني) (Drive Test Engineer) لاجراء اختبارات ميدانية وتقييم اداء شبكات الجيل الخامس (5G) المنفذة علي المعدات. تتضمن الوظيفة جمع وتحليل جودة الاشارة اللاسلكية، والتغطية، وسرعة النقل باستخدام ادوات قياسية معتمدة في الصناعة. يجب ان يكون المرشح المثالي ذو خبرة عملية قوية في ادوات الاختبار الميداني، وبرامج تحليل البيانات (post-processing)، وفهم عميق لتقنيات الوصول اللاسلكي لدعم مبادرات تحسين الشبكة وتعزيز الاداء
المسووليات:
• اجراء اختبارات القيادة (Drive Test) والمشي (Walk Test) لجمع بيانات شبكة الجيل الخامس في المناطق والمواقع المخصصة
• استخدام ادوات مثل TEMS Investigation، Outdoor/Handy، او X-CAL لجمع البيانات في الوقت الفعلي
• تحديد وتسجيل المشكلات مثل انقطاع المكالمات، ضعف الاشارة، فشل التحويل بين الخلايا، وتدهور سرعة النقل
• اجراء التحقق من المواقع الفردية (SSV) واختبارات قيادة التجمعات (CDT) لقبول المواقع الجديدة وتحسينها
• تحليل السجلات باستخدام برامج مثل Actix، TEMS Discovery، MapInfo، او SwissQual لتقييم موشرات الاداء الرييسية (KPI) واعداد التقارير
• التحقق من تكامل الموقع وضبط اتجاه وهوايي التغطية وزاوية الميل بعد تركيب الموقع
• التنسيق مع فرق تحسين الترددات اللاسلكية (RF) وفرق النقل للابلاغ عن المشكلات واقتراح ضبط المعايير او تصحيح الاعطال في المعدات
• اعداد تقارير يومية/اسبوعية عن اختبارات القيادة تتضمن خرايط التغطية، ملخصات موشرات الاداء، وسجلات الاعطال التفصيلية
• الالتزام ببروتوكولات السلامة والدخول الي المواقع خلال جميع الانشطة الميدانية
• دعم مشاريع التحسين، وحل الاعطال، وتقييم الاداء بعد استبدال المعدات في الشبكات"
IT,,'- مطلوب مشغل برنامج ERPNext للعمل لدي شركة كبري بمدينة الرياض
IT,,"'- الترويج لمنتجات وخدمات الشركة المتعلقة بمراكز البيانات، وبنية الشبكات التحتية، واستمرارية الاعمال، وامن المعلومات والامن السيبراني، وذلك من خلال استراتيجية واضحة وشراكات قوية مع الشركاء الحاليين والمحتملين
- تعزيز حجم المبيعات وتحقيق افضل النتايج
- قيادة برامج التسويق ودعم تنفيذها بفعالية"
IT,,"'- تطوير وصيانة المواقع الالكترونية وفق احدث التقنيات
- تحسين تجربة المستخدم وتنفيذ التكامل مع الانظمة الاخري واختبار الاداء وضمان التوافق الفني
- تطبيق حلول جديدة بحسب احتياجات المشاريع
- المساهمة في تطوير الجانب التقني بما يواكب تطور العمل الرقمي"
IT,,"المسووليات:
- تصميم مواد تسويقية مثل الاعلانات، الكتيبات، والشعارات
- تطوير تصاميم مبتكرة وجذابة تلبي احتياجات العملاء
- التعاون مع فرق التسويق والمبيعات لضمان تحقيق الاهداف
- متابعة احدث الاتجاهات في التصميم لضمان تقديم افكار جديدة ومبتكرة"
IT,,"'- مطلوب مصممة مواقع الكترونية للعمل بمدينة الرياض - حي الربوة
من المهام:
- التصميم وانشاء وادارة المتاجر الالكترونية
- ادارة حملات التسويق بمنصات التواصل الاجتماعي"
IT,,"'- مطلوب تقني SAP S/4HANA للعمل لدي شركة مقاولات بمدينة الرياض
المهام والمسووليات:
- تنفيذ ودعم وتطوير حلول SAP S/4HANA وفقا لمتطلبات العمل
- تحليل احتياجات المستخدمين وتقديم الحلول التقنية المناسبة
- ضبط وتكوين النظام وضمان تكامله مع الانظمة الاخري
- تقديم الدعم الفني والتدريب للمستخدمين النهاييين
- المشاركة في عمليات التحديث والترقية للنظام
- توثيق العمليات والاعدادات الفنية وفق المعايير المعتمدة"
IT,,'- Sales Engineer required with minimum 2-3 years of experience in technical and sales field
IT,,"الهدف العام للوظيفة:
- تقديم الدعم الفني لمستخدمي نظام Odoo ERP، وضمان تشغيل النظام بكفاءة وسلاسة، واستكشاف المشكلات التقنية وحلها، بالاضافة الي التنسيق مع مزودي الخدمة لضمان استمرارية العمليات
المهام والمسووليات:
الدعم الفني والصيانة:
- تقديم الدعم الفني للمستخدمين النهاييين فيما يتعلق بنظام Odoo ERP وجميع التطبيقات المرتبطة به
- استكشاف المشكلات التقنية واصلاحها سواء علي مستوي المستخدم او النظام
- متابعة اداء النظام واقتراح التحسينات لضمان الكفاءة التشغيلية
ادارة النظام والتكاملات:
- متابعة تكامل Odoo مع الانظمة الاخري، مثل هيية الزكاة والدخل (منصة فاتورة) وOutlook للبريد الالكتروني
- العمل علي صيانة وادارة البيية السحابية علي Odoo.sh بالتنسيق مع Odoo عند الحاجة
- ادارة النسخ الاحتياطية اليومية والتاكد من استرجاع البيانات عند الضرورة
الامان والامتثال:
- التاكد من تطبيق سياسات الامان وادارة المستخدمين والصلاحيات وفق المعايير المعتمدة
- المساعدة في الامتثال لمتطلبات التدقيق السنوي ITGC وITAC من خلال توفير البيانات والتوثيق اللازم
التوثيق والتدريب:
- اعداد وثايق فنية وارشادات استخدام للمستخدمين النهاييين
- تقديم تدريب للمستخدمين حول كيفية استخدام النظام والاستفادة من ميزاته بكفاءة
- توثيق المشكلات الشايعة وحلولها في قاعدة المعرفة الداخلية
التنسيق والتواصل:
- التنسيق مع فريق Odoo Support عند وجود مشكلات تحتاج الي تصعيد
- التعاون مع الادارات الاخري لفهم احتياجاتهم التقنية وتحسين استخدام النظام"
IT,,"'- nstall, configure, and maintain CCTV cameras, DVRs, NVRs, and related security equipment
- Perform troubleshooting and repairs on existing surveillance systems
- Run and terminate cables (CAT6, coaxial, fiber optic) for CCTV and network connections
- Ensure proper camera positioning, focus, and angle to achieve optimal coverage
- Conduct site surveys and recommend suitable CCTV placements
- Integrate CCTV systems with other security and access control systems if required
- Perform routine maintenance and firmware updates on cameras and recording devices
- Ensure compliance with safety standards and regulations during installation and maintenance
- Document system configurations, wiring diagrams, and service reports
- Provide technical support and training to end users on operating CCTV systems"
IT,,"'- ادارة الوقت بكفاءة لتقديم الخدمات باعلي جودة خلال مدة زمنية محددة
- المرونة في التعامل مع مختلف انواع العملاء واحتياجاتهم لتحقيق رضاهم الكامل
- تقديم الدعم الفني وحل المشكلات المتعلقة بالمنتجات او الخدمات المقدمة
- استخدام انظمة ادارة علاقات العملاء لتسجيل البيانات ومتابعة الحالات
- الالتزام بمعايير الجودة وتحقيق الاداء المتميز في تقديم الخدمة للعملاء"
IT,,'- مطلوب مصمم فيديو ومونتاج للعمل بدوام كامل بمدينة الدمام
IT,,"المهام والمسووليات:
• تقديم دورات تدريبية في مجال الحاسب الالي وتقنية المعلومات
• تصميم وتطوير المواد التدريبية والمناهج التعليمية
• تقييم اداء المتدربين وتقديم التغذية الراجعة لتحسين ادايهم
• الاجابة علي استفسارات المتدربين وتقديم الدعم الفني اللازم
• تحديث المحتوي التدريبي وفقا لاحدث التطورات التقنية
• ادارة الفصول التدريبية وضمان تحقيق الاهداف التعليمية"
IT,,'- مطلوب موظف تقنية معلومات IT للعمل لدي شركة بمدينة الرياض
IT,,'- We are looking for an experienced IT with a strong background in ERP systems and Cybersecurity to join our dynamic team
IT,,'- مطلوب اخصايي نظم معلومات جغرافية GIS للعمل لمشروع مع جهة حكومية بمحافظة الطايف
IT,,"'- We are seeking a skilled Computer-Aided Facility Management (CAFM) planner to join our team. The ideal candidate will have extensive experience working with CAFM-related software, including but not limited to SAP, Maximo, NUb, O&M, and Oracle. You will play a critical role in optimizing our facility management processes to enhance operational efficiency and support our strategic objectives.
Key Responsibilities:
- Utilize CAFM software to monitor and manage facility operations effectively.
- Implement and maintain system configurations to align with organizational requirements.
- Collaborate with cross-functional teams to gather data and improve facilities management processes.
- Conduct regular system audits and updates to ensure software integrity and data accuracy.
- Train staff on the effective use of CAFM tools and techniques.
- Generate reports and dashboards to provide insights into facility performance."
IT,,'- العمل علي تركيب الداش كام بكافة انواعه
IT,,'- ادارة شبكة الشركة للاجهزة واضافة البرنامج والتحديث واعادة الضبط والحماية
IT,,"'- ادارة وصيانة الانظمة الشبكية والحاسوبية داخل الشركة
- دعم الموظفين في حل المشكلات التقنية
- تثبيت وصيانة البرمجيات والاجهزة
- ضمان استمرارية عمل الشبكات والحفاظ علي مستوي عال من الامان
- متابعة التحديثات التقنية وتقديم التوصيات لتطوير الانظمة"
IT,,"Key Responsibilities
1. CRM Management and Optimization:
- Configure, customize, and maintain the Odoo CRM module to meet organizational needs.
- Design and implement efficient workflows for lead, opportunity, and sales pipeline management.
- Ensure CRM features are optimized for usability and maximum impact.
2. Practical CRM Utilization:
- Actively use the CRM module to manage customer relationships, track sales performance, and ensure data accuracy.
- Provide insights and suggestions for enhancing the use of CRM from a user’s perspective based on hands-on experience.
3. Reporting and Insights:
- Develop comprehensive reports and dashboards for management to monitor KPIs such as lead conversion rates, sales team performance, and customer retention.
- Present actionable insights to management for strategic decision-making and performance improvements.
4. Integration and Collaboration:
- Ensure seamless integration of the Odoo CRM module with other business systems, such as marketing automation and ERP modules.
- Collaborate with sales and marketing teams to ensure CRM aligns with operational goals and supports cross-functional processes.
5. Training and Support:
- Train team members on how to effectively use the CRM module for their daily tasks.
- Provide ongoing support to resolve issues and answer user queries.
6. Data Management:
- Ensure the integrity and accuracy of CRM data, including lead segmentation, contact updates, and data deduplication.
- Develop processes for regular data audits and cleanup"
IT,,"● العمل مع ASP.NET Core وASP.NET Core MVC
● العمل مع Entity Framework Core
● التعامل مع المصادقة والصلاحيات في تطبيقات ASP.NET Core
● خبرة في اختبار الوحدات (Unit Testing) في تطبيقات ASP.NET Core
● العمل مع معالجة العمليات الخلفية (Background Processing) في ASP.NET Core
● فهم معماريات البرمجيات النظيفة (Clean Architecture) في ASP.NET Core
● فهم الاستعلام عن قواعد البيانات باستخدام LINQ"
IT,,'- مطلوب مناديب مبيعات 5G للعمل عن طريق التسويق الميداني للعمل بمدينة الرياض
IT,,"موظفة ملمة بالمهام التالية :
- انشاء وادارة المتاجر الالكترونية
- التصميم
- ادارة منصات التواصل الاجتماعي"
IT,,"'- مطلوب استشاري ادارة مشاريع لديه خبرة من 5 - 7 سنوات في ادارة المشاريع، وخاصة في القطاعات الحكومية والمشاريع التقنية
- العمل 5 ايام في الاسبوع
المسيوليات:
• تصميم الانظمة والاشراف علي تنفيذها
• تقديم التوصيات والاستشارات الادارية والفنية
• اعداد خطط المشاريع
• تنظيم الاجراءات اللازمة
• ادارة فرق العمل
• تقديم التوجيهات والتقارير الدورية"
IT,,"'- مطلوب مدير مشاريع لديه خبرة من 3 - 5 سنوات في ادارة المشاريع للعمل بمدينة الرياض
المسيوليات:
• ادارة المشاريع التقنية
• وضع الخطط وتنفيذها حسب افضل الممارسات
• التنسيق مع الجهات الحكومية"
IT,,'- مطلوب مراقب كاميرات للعمل بمدينة الدمام
IT,,'- مطلوب مصممة جرافيك سعودية الجنسية لديها خبرة لا تقل عن سنة للعمل بمحافظة الخرج
IT,,"اعلان وظيفي: مدير مشاريع واستشاري ادارة مشاريع
موقع العمل:
الرياض
الوظايف المطلوبة:
1.    مدير مشاريع
•     الموهلات:
•     بكالوريوس حاسب الي او مايعادلها.
•     حاصل علي شهادة احترافية في ادارة المشاريع (مثل PMP).
الخبرة:
•     خبرة 3-5 سنوات علي الاقل في ادارة المشاريع.
المهارات المطلوبة:
•     ادارة المشاريع التقنية.
•     وضع الخطط وتنفيذها حسب افضل الممارسات.
•     التنسيق مع الجهات الحكومية.
2.    استشاري ادارة مشاريع
•     الموهلات:
•     بكالوريوس مناسب.
•     شهادة احترافية في ادارة المشاريع (PMP).
•     الخبرة:
•     خبرة 5-7 سنوات في ادارة المشاريع، وخاصة في القطاعات الحكومية والمشاريع التقنية.
المهارات المطلوبة:
•     تصميم الانظمة والاشراف علي تنفيذها.
•     تقديم التوصيات والاستشارات الادارية والفنية.
عدد ايام العمل:
•     5 ايام.
المهام الرييسية:
•     اعداد خطط المشاريع.
•     تنظيم الاجراءات اللازمة.
•     ادارة فرق العمل.
•     تقديم التوجيهات والتقارير الدورية."
IT,,"المسووليات:
- تصميم وتنفيذ وصيانة انظمة الشبكات والبنية التحتية لتقنية المعلومات في مقر الادارة العامة
- تقديم الدعم الفني للمستخدمين وحل المشاكل التقنية المتعلقة بالبرمجيات والاجهزة
- مراقبة اداء الانظمة والشبكات وضمان استقرارها وامنها
- تطوير وادارة سياسات واجراءات تقنية المعلومات لضمان الامتثال للمعايير الامنية
- تنفيذ مشاريع تقنية المعلومات وتحسين العمليات التقنية داخل الشركة"
IT,,'- مطلوب اخصايي تقنية معلومات مختص في البرمجة والشبكات للعمل بمدينة الرياض
